id,street,city,state,zip
10495,2004 Sibley Blvd,Calumet City,IL,60409-2115
10496,I-294 Lincoln Oasis,South Holland,IL,60473
10497,600 E 115th St,Chicago,IL,60628-5702
10498,11421 S Halsted,Chicago,IL,60628-5201
10499,656 River Oaks Dr,Calumet City,IL,60409-5712
10500,17810 S Torrence,Lansing,IL,60438-1836
10501,761 S Lake Street,Gary,IN,46403-2916
10502,6321 Ameriplex Drive,Portage,IN,46368
10503,6120 Central Avenue,Portage,IN,46368-3602
10504,243 Melton Road,Burns Harbor,IN,46304
10505,480 Indian Boundary Line Rd,Chesterton,IN,46304-1513
10506,1527 W 5th Ave,Gary,IN,46402
10507,1811 E Columbus Drive,East Chicago,IN,46312-2825
10508,3639 169th St,Hammond,IN,46323
10509,4745 Indianapolis Blvd,East Chicago,IN,46312-3327
10510,7420 Kennedy Avenue,Hammond,IN,46323
10511,5816 S Franklin St,Michigan City,IN,46360
10512,3507 S Franklin,Michigan City,IN,46361
10513,4615 Calumet Ave,Hammond,IN,46327
10514,6437 Columbia Ave,Hammond,IN,46320-2747
10515,1822 Indianapolis Blvd,Whiting,IN,46394-1327
10516,4047 East 106th Street,Chicago,IL,60617-6341
10517,164 Pine Lake Rd,La Porte,IN,46350
10518,200 Boyd Boulevard,La Porte,IN,46350
10519,5021 Western Avenue,South Bend,IN,46619-2311
10520,2771 Lincolnway E,Mishawaka,IN,46544-3535
10521,3520 Bremen Highway,Mishawaka,IN,46544-6500
10522,1011 W Mckinley,Mishawaka,IN,46545
10523,1850 Lincolnway E,South Bend,IN,46613-3423
10524,4711 S Miami,South Bend,IN,46614-3225
10525,2001 S Michigan St,South Bend,IN,46613-2317
10526,416 N Michigan St,South Bend,IN,46601-1228
10527,1519 North Ironwood Drive,South Bend,IN,46635
10528,1706 Elkhart Rd,Goshen,IN,46526-1940
10529,3429 S Main Street,Elkhart,IN,46517-3125
10530,18423 Us 20,Goshen,IN,46528
10531,21879 State Hwy 120,Elkhart,IN,46514
10532,1430 S Nappanee St,Elkhart,IN,46516
10533,130 N Main St,Elkhart,IN,46514
10534,57900 State Hwy 13,Middlebury,IN,46540
